nameFirst,nameLast,weight,debut,height,finalGame,baseball_ref_url,birthCity,birthState,birthYear,lat,long
Cal,Ripken,175,,71,,http://www.baseball-reference.com/players/r/ripkeca99.shtml,Aberdeen,MD,1935,39.515856,-76.170180
Frank,Todd,,1898-07-14,,1898-08-04,http://www.baseball-reference.com/players/t/toddfr01.shtml,Aberdeen,MD,1869,39.515856,-76.170180
Guy,Bush,175,1923-09-17,72,1945-05-26,http://www.baseball-reference.com/players/b/bushgu01.shtml,Aberdeen,MS,1901,33.828299,-88.554741
Justin,Duchscherer,165,2001-07-25,75,2010-04-29,http://www.baseball-reference.com/players/d/duchsju01.shtml,Aberdeen,SD,1977,45.464678,-98.468104
Tony,Faeth,180,1919-08-10,72,1920-07-27,http://www.baseball-reference.com/players/f/faethto01.shtml,Aberdeen,SD,1893,45.464678,-98.468104
Terry,Francona,190,1981-08-19,73,1990-04-19,http://www.baseball-reference.com/players/f/francte01.shtml,Aberdeen,SD,1959,45.464678,-98.468104
John,Hoffman,190,1964-07-30,72,1965-10-03,http://www.baseball-reference.com/players/h/hoffmjo01.shtml,Aberdeen,SD,1943,45.464678,-98.468104
Karl,Best,190,1983-08-19,76,1988-06-20,http://www.baseball-reference.com/players/b/bestka01.shtml,Aberdeen,WA,1959,46.976677,-123.809718
Pete,Naktenis,185,1936-06-13,73,1939-05-14,http://www.baseball-reference.com/players/n/naktepe01.shtml,Aberdeen,WA,1914,46.976677,-123.809718
Hy,Vandenberg,220,1935-06-08,76,1945-09-29,http://www.baseball-reference.com/players/v/vandehy01.shtml,Abilene,KS,1906,38.923898,-97.224138
Bill,Gilbreth,180,1971-06-25,72,1974-05-12,http://www.baseball-reference.com/players/g/gilbrbi01.shtml,Abilene,TX,1947,32.454514,-99.738147
Chuck,Harrison,185,1965-09-15,70,1971-09-25,http://www.baseball-reference.com/players/h/harrich02.shtml,Abilene,TX,1941,32.454514,-99.738147
Dave,Johnson,183,1974-07-02,73,1978-05-10,http://www.baseball-reference.com/players/j/johnsda03.shtml,Abilene,TX,1948,32.454514,-99.738147
John,Lackey,235,2002-06-24,78,2015-10-04,http://www.baseball-reference.com/players/l/lackejo01.shtml,Abilene,TX,1978,32.454514,-99.738147
Grady,Little,175,,71,,http://www.baseball-reference.com/players/l/littlgr99.shtml,Abilene,TX,1950,32.454514,-99.738147
Phil,Lombardi,200,1986-04-26,74,1989-10-01,http://www.baseball-reference.com/players/l/lombaph01.shtml,Abilene,TX,1963,32.454514,-99.738147
Bill,Shores,185,1928-04-11,72,1936-09-20,http://www.baseball-reference.com/players/s/shorebi01.shtml,Abilene,TX,1904,32.454514,-99.738147
Gail,Harris,195,1955-06-03,72,1960-05-03,http://www.baseball-reference.com/players/h/harriga01.shtml,Abingdon,VA,1931,36.709224,-81.970927
