birthCity,birthState,birthYear,lat,long
Ada,OK,1982,34.768432,-96.669108
Ada,OK,1982,34.768432,-96.669108
Adel,GA,1992,31.131571,-83.425405
Agoura Hills,CA,1986,34.148942,-118.763930
Akron,OH,1986,41.080456,-81.521429
Alameda,CA,1981,37.741911,-122.259914
Albany,NY,1987,42.665745,-73.798353
Albuquerque,NM,1990,35.105552,-106.647388
Albuquerque,NM,1986,35.105552,-106.647388
Albuquerque,NM,1986,35.105552,-106.647388
Albuquerque,NM,1986,35.105552,-106.647388
Alexander City,AL,1990,,
Alexandria,LA,1983,31.293449,-92.470189
Alexandria,VA,1987,38.820071,-77.084063
Algona,IA,1982,43.073979,-94.229926
Allentown,PA,1983,40.593648,-75.478393
Alpharetta,GA,1984,34.070648,-84.275907
Altamonte Springs,FL,1989,28.661022,-81.394681
Altamonte Springs,FL,1982,28.661022,-81.394681
Amarillo,TX,1988,35.197839,-101.828746
American Fork,UT,1986,40.381540,-111.793481
Amherst,OH,1990,41.405329,-82.231725
Amory,MS,1985,33.981846,-88.482607
Anaconda,MT,1982,,
Anaheim,CA,1987,33.855497,-117.760071
Anaheim,CA,1984,33.855497,-117.760071
Anaheim,CA,1988,33.855497,-117.760071
Anaheim,CA,1992,33.855497,-117.760071
Anaheim,CA,1981,33.855497,-117.760071
Anaheim,CA,1988,33.855497,-117.760071
Anaheim,CA,1986,33.855497,-117.760071
Anaheim,CA,1989,33.855497,-117.760071
Anaheim,CA,1987,33.855497,-117.760071
Anaheim,CA,1987,33.855497,-117.760071
Anchorage,AK,1986,61.174250,-149.284329
Anchorage,AK,1986,61.174250,-149.284329
Anderson,IN,1983,40.089233,-85.695119
Andover,MN,1991,45.252420,-93.337402
Ann Arbor,MI,1988,42.275686,-83.731449
Annapolis,MD,1983,38.972164,-76.505445
Annapolis,MD,1980,38.972164,-76.505445
Antigo,WI,1984,45.141269,-89.155225
Apple Valley,CA,1981,34.533376,-117.210358
Apple Valley,CA,1983,34.533376,-117.210358
Arcadia,CA,1988,34.132689,-118.036347
Arlington,TX,1987,32.700708,-97.124691
Arlington,TX,1987,32.700708,-97.124691
Arlington,TX,1990,32.700708,-97.124691
Arlington,TX,1986,32.700708,-97.124691
Arlington,TX,1985,32.700708,-97.124691
Arlington,TX,1988,32.700708,-97.124691
Artesia,CA,1985,33.867593,-118.080635
Asheville,NC,1987,35.570977,-82.552738
Astoria,OR,1982,46.187368,-123.814971
Athens,GA,1985,,
Athens,GA,1989,,
Athens,GA,1984,,
Atlanta,GA,1990,33.762909,-84.422675
Atlanta,GA,1983,33.762909,-84.422675
Atlanta,GA,1984,33.762909,-84.422675
Atlanta,GA,1986,33.762909,-84.422675
